timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-10-12,548.1300,555.2300,544.6300,548.5000,275.0992,6349200,0.0000,1.0000
2011-10-11,533.4600,546.8000,533.4600,543.1800,272.4310,5701000,0.0000,1.0000
2011-10-10,525.1800,537.4700,523.2000,537.1700,269.4167,4639700,0.0000,1.0000
2011-10-07,516.8300,520.5000,510.3000,515.1200,258.3575,5706000,0.0000,1.0000
2011-10-06,507.5000,515.2300,502.6000,514.7100,258.1519,6841700,0.0000,1.0000
2011-10-05,496.3500,507.8000,480.7700,504.7000,253.1314,9059100,0.0000,1.0000
2011-10-04,490.0300,503.4400,480.5960,501.9000,251.7271,8309200,0.0000,1.0000
2011-10-03,509.8500,512.0000,495.0000,495.5200,248.5272,8939800,0.0000,1.0000
2011-09-30,520.2100,524.0000,514.3800,515.0400,258.3174,5441700,0.0000,1.0000
2011-09-29,536.0400,537.3000,519.4100,527.5000,264.5667,5807300,0.0000,1.0000
2011-09-28,541.5000,544.0200,527.7000,528.8400,265.2388,4522000,0.0000,1.0000
2011-09-27,538.2000,547.0500,536.0500,539.3400,270.5050,6015700,0.0000,1.0000
2011-09-26,527.2500,532.9300,513.2500,531.8900,266.7685,5263100,0.0000,1.0000
2011-09-23,516.5600,526.4200,514.5000,525.5100,263.5686,5549000,0.0000,1.0000
2011-09-22,526.2500,528.7770,514.0000,520.6600,261.1361,8791700,0.0000,1.0000
2011-09-21,547.6900,555.0000,538.8600,539.2000,270.4348,5023500,0.0000,1.0000
2011-09-20,549.4000,558.5200,542.6700,546.6250,274.1588,5552600,0.0000,1.0000
2011-09-19,540.3500,549.9000,535.3800,546.6700,274.1814,4931800,0.0000,1.0000
2011-09-16,544.8000,546.8400,543.1400,546.6800,274.1864,7061500,0.0000,1.0000
2011-09-15,535.5000,544.9800,534.5600,542.5600,272.1200,5915600,0.0000,1.0000
2011-09-14,532.5900,536.9500,525.8200,532.0700,266.8588,5383400,0.0000,1.0000
2011-09-13,532.0000,533.8800,523.4000,529.5200,265.5798,4703600,0.0000,1.0000
2011-09-12,520.6700,531.9900,517.5000,530.1200,265.8807,5335400,0.0000,1.0000
2011-09-09,531.4000,534.6500,521.1900,524.8500,263.2376,6531000,0.0000,1.0000
2011-09-08,533.8000,539.1000,531.9000,534.9600,268.3082,4756200,0.0000,1.0000
2011-09-07,530.4500,535.9390,527.4000,534.0300,267.8418,5506000,0.0000,1.0000
2011-09-06,510.8000,522.7600,510.5000,522.1800,261.8985,5426100,0.0000,1.0000
2011-09-02,524.4700,527.9197,520.7300,524.8400,263.2326,4797500,0.0000,1.0000
2011-09-01,540.7500,543.8300,531.2160,532.5000,267.0744,4826100,0.0000,1.0000
2011-08-31,544.7400,546.3000,536.0000,540.9600,271.3175,5381200,0.0000,1.0000
2011-08-30,538.1900,542.9900,530.8100,540.7000,271.1871,5972000,0.0000,1.0000
2011-08-29,534.5600,539.4500,533.5620,539.0800,270.3746,4666900,0.0000,1.0000
2011-08-26,519.9900,530.4540,513.1400,526.8600,264.2457,7185400,0.0000,1.0000
2011-08-25,530.3800,537.2700,518.3000,520.0400,260.8251,6579400,0.0000,1.0000
2011-08-24,519.3300,530.0000,517.2300,523.2900,262.4552,7181800,0.0000,1.0000
2011-08-23,503.5000,521.4100,499.0580,518.8200,260.2133,8684900,0.0000,1.0000
2011-08-22,504.0000,507.0000,494.5300,498.1700,249.8563,9801900,0.0000,1.0000
2011-08-19,499.3400,514.8700,490.8600,490.9200,246.2201,10809100,0.0000,1.0000
2011-08-18,523.4700,524.8900,500.4900,504.8800,253.2217,12568800,0.0000,1.0000
2011-08-17,540.0300,543.6900,530.7700,533.1500,267.4004,8150000,0.0000,1.0000
2011-08-16,552.4300,552.4400,530.3000,539.0000,270.3345,13864900,0.0000,1.0000
2011-08-15,553.4300,564.9900,546.0500,557.2300,279.4777,14275500,0.0000,1.0000
2011-08-12,569.5000,570.5000,560.4000,563.7700,282.7578,6302200,0.0000,1.0000
2011-08-11,553.8200,568.5000,548.4100,562.1300,281.9353,9651500,0.0000,1.0000
2011-08-10,561.3800,564.1200,547.7300,549.0100,275.3550,10728400,0.0000,1.0000
2011-08-09,561.0000,574.6100,541.0100,573.4100,287.5928,12926400,0.0000,1.0000
2011-08-08,562.9800,569.0000,544.3500,546.0200,273.8554,14978200,0.0000,1.0000
2011-08-05,582.5450,590.0000,562.0000,579.0400,290.4165,11846300,0.0000,1.0000
2011-08-04,594.5000,598.8500,577.4700,577.5200,289.6541,9819300,0.0000,1.0000
2011-08-03,594.2700,603.0000,583.6260,601.1700,301.5158,7643700,0.0000,1.0000
2011-08-02,606.0000,609.6700,591.5700,592.4000,297.1172,6394700,0.0000,1.0000
2011-08-01,611.2200,615.5000,599.1800,606.7700,304.3244,7924200,0.0000,1.0000
2011-07-29,604.2300,614.9600,603.6900,603.6900,302.7797,8266500,0.0000,1.0000
2011-07-28,605.1900,615.9800,603.0000,610.9400,306.4159,6210500,0.0000,1.0000
2011-07-27,617.1800,620.9500,604.7500,607.2200,304.5501,7860900,0.0000,1.0000
2011-07-26,618.0500,627.4992,617.2180,622.5200,312.2238,4681100,0.0000,1.0000
2011-07-25,613.3600,625.4092,613.0000,618.9800,310.4483,6256900,0.0000,1.0000
2011-07-22,605.3900,619.5000,604.2700,618.2300,310.0722,7049300,0.0000,1.0000
2011-07-21,594.0300,608.0600,594.0100,606.9900,304.4348,6932000,0.0000,1.0000
2011-07-20,602.1800,602.8300,595.3500,595.3500,298.5967,4451100,0.0000,1.0000
2011-07-19,596.1400,604.6800,595.5300,602.5500,302.2079,5929000,0.0000,1.0000
2011-07-18,592.4900,602.0500,592.0000,594.9400,298.3911,8927600,0.0000,1.0000
2011-07-15,597.5000,600.2500,588.1601,597.6200,299.7353,27436700,0.0000,1.0000
2011-07-14,539.1200,542.0000,526.7300,528.9400,265.2889,13285700,0.0000,1.0000
2011-07-13,537.0000,544.0000,536.4840,538.2600,269.9634,5574800,0.0000,1.0000
2011-07-12,528.1600,539.4200,526.0000,534.0100,267.8318,5676700,0.0000,1.0000
2011-07-11,528.1800,535.9800,525.5000,527.2800,264.4564,5672900,0.0000,1.0000
2011-07-08,532.9500,537.6500,527.2700,531.9900,266.8186,9530800,0.0000,1.0000
2011-07-07,541.0000,550.6800,535.8800,546.6000,274.1463,7863100,0.0000,1.0000
2011-07-06,533.5000,538.5100,533.0400,535.3600,268.5089,5385800,0.0000,1.0000
2011-07-05,525.3000,535.4000,525.3000,532.4400,267.0443,7690700,0.0000,1.0000
2011-07-01,506.7400,521.1800,506.3800,521.0280,261.3207,7266100,0.0000,1.0000
